kolumna1;kolumna2;kolumna3;kolumna4;kolumna5;kolumna6;kolumna7;kolumna8;kolumna9;kolumna10;kolumna11;kolumna12;kolumna13;kolumna14;kolumna15;kolumna16(Class attr)
b;0,2711111111111111;0;u;g;w;v;0,043859649122807015;t;t;0,014925373134328358;f;g;0,101;0;+
a;0,713015873015873;0,15928571428571428;u;g;q;h;0,10666666666666667;t;t;0,08955223880597014;f;g;0,0215;0,0056;+
a;0,17063492063492064;0,017857142857142856;u;g;q;h;0,05263157894736842;t;f;0;f;g;0,14;0,00824;+
b;0,22349206349206346;0,055;u;g;w;v;0,13157894736842105;t;t;0,07462686567164178;t;g;0,05;3E-05;+
b;0,10190476190476193;0,20089285714285715;u;g;w;v;0,06;t;f;0;f;s;0,06;0;+
b;0,2909523809523809;0,14285714285714285;u;g;m;v;0,08771929824561403;t;f;0;t;g;0,18;0;+
b;0,3082539682539683;0,037142857142857144;u;g;r;h;0,22807017543859648;t;f;0;t;g;0,082;0,31285;+
a;0,14555555555555558;0,41375;u;g;cc;v;0,0014035087719298247;t;f;0;f;g;0,04;0,01349;+
b;0,6455555555555555;0,017857142857142856;y;p;k;h;0,13894736842105262;t;f;0;f;g;0,09;0,00314;+
b;0,45634920634920634;0,1755357142857143;y;p;w;v;0,11105263157894738;t;f;0;t;g;0,026;0,01442;+
b;0,13222222222222219;0,02964285714285714;u;g;c;h;0,07596491228070175;f;f;0;t;g;0,064;0;+
b;0,2566666666666667;0,06553571428571428;u;g;c;h;0,15210526315789474;t;f;0;f;g;0,13;0,002;+
a;0,3888888888888889;0,21428571428571427;u;g;k;v;0,03508771929824561;t;f;0;t;g;0;0;+
b;0,5449206349206349;0,21571428571428572;u;g;k;v;0,0014035087719298247;f;f;0;f;g;0;0,0269;+
a;0,5092063492063492;0,375;u;g;q;v;0,17543859649122806;t;t;0,1044776119402985;t;g;0;0;+
b;0,36380952380952386;0,15767857142857142;y;p;k;v;0,008771929824561403;t;t;0,14925373134328357;t;g;0,16;0;+
b;0,23015873015873015;0,03125;u;g;m;v;0,03368421052631579;t;t;0,04477611940298507;t;g;0,198;0;+
a;0,15079365079365079;0,20982142857142858;u;g;q;v;0,11122807017543859;t;t;0,14925373134328357;f;g;0,06;0,00245;+
b;0,12825396825396823;0,008928571428571428;u;g;d;h;0,023333333333333334;t;f;0;t;g;0;0;+
a;0,08603174603174606;0,3066071428571429;u;g;cc;h;0,02631578947368421;t;t;0,1044776119402985;f;g;0,048;0;+
b;0,17857142857142858;0,4017857142857143;u;g;c;v;0,08771929824561403;t;t;0,2537313432835821;f;g;0,1;0,01208;+
b;0,15079365079365079;0,03571428571428571;u;g;c;v;0,029298245614035087;t;f;0;f;s;0,15;0;+
a;0,5396825396825397;0,2857142857142857;u;g;c;v;0,27631578947368424;t;t;0,08955223880597014;t;g;0;0,0126;+
a;0,216984126984127;0,5178571428571429;u;g;x;h;0,10824561403508771;t;t;0,014925373134328358;f;g;0,06;0,00011;+
a;0,43523809523809526;0,23214285714285715;u;g;q;v;0,017543859649122806;t;t;0,04477611940298507;t;g;0,0725;0;+
a;0,03301587301587302;0,02089285714285714;u;g;c;h;0,05263157894736842;t;t;0,029850746268656716;f;g;0,05;0;+
a;0,5277777777777778;0,4642857142857143;u;g;i;bb;0,1812280701754386;t;t;0,13432835820895522;t;g;0;0;+
b;0,6798412698412698;0,6607142857142857;u;g;d;bb;0,5263157894736842;t;t;0,2537313432835821;t;g;0;0;+
b;0,6931746031746032;0,30357142857142855;u;g;e;h;0,24561403508771928;t;t;0,04477611940298507;f;g;0;0;+
b;0,44968253968253963;0,037142857142857144;u;g;w;v;0,17543859649122806;t;t;0,08955223880597014;t;g;0,25;0,1;+
b;0,24603174603174602;0,5282142857142856;u;g;aa;v;0,17684210526315788;t;t;0,07462686567164178;t;g;0,084;0;+
b;0,44841269841269843;0,3496428571428571;u;g;x;h;0,2792982456140351;t;t;0,11940298507462686;f;g;0;0;+
b;0,5674603174603174;0,27089285714285716;u;g;i;bb;0,26614035087719295;t;t;0,22388059701492538;t;g;0;0,05;+
a;0,36507936507936506;0,18303571428571427;u;g;e;v;0,17543859649122806;t;f;0;t;g;0;0,04;+
a;0,14015873015873012;0,38392857142857145;u;g;q;v;0,01456140350877193;t;t;0,07462686567164178;t;g;0;0,0056;+
b;0,22349206349206346;0,05357142857142857;u;g;w;v;0,07017543859649122;t;t;0,16417910447761194;t;g;0,217;0,00035;+
b;0,21428571428571427;0,056607142857142856;u;g;cc;h;0,0643859649122807;t;t;0,1791044776119403;t;g;0,2915;0,00713;+
a;0,14682539682539683;0,41964285714285715;u;g;x;h;0,017543859649122806;t;t;0,029850746268656716;t;g;0,15;0,00551;+
b;0,2222222222222222;0,02089285714285714;y;p;cc;v;0,008771929824561403;t;t;0,029850746268656716;f;g;0,13;0,005;+
b;0,6480952380952381;0,33625;u;g;ff;ff;0,5057894736842105;t;t;0,16417910447761194;t;g;0,015;0,003;+
b;0,32412698412698415;0,3275;u;g;c;v;0,15789473684210525;t;t;0,1791044776119403;t;g;0;0,00221;+
b;0,2407936507936508;0,5357142857142857;u;g;c;h;0,18719298245614036;t;t;0,16417910447761194;f;g;0;0,02283;+
b;0,2526984126984127;0,05053571428571429;u;g;w;h;0,02631578947368421;t;t;0,014925373134328358;f;g;0,12;0,001;+
b;0,41;0,4969642857142857;u;g;w;v;0,3026315789473684;t;t;0,08955223880597014;t;g;0,035;0;+
b;0,6773015873015873;1;y;p;c;v;1;t;t;0,5970149253731343;f;g;0;0,00015;+
b;0,6441269841269841;0,24107142857142858;u;g;c;h;0,09210526315789473;t;t;0,16417910447761194;t;g;0;0,00284;+
a;0,43253968253968256;0,07285714285714286;y;p;q;h;0,0043859649122807015;t;t;0,34328358208955223;t;g;0,2275;0,01236;+
b;0,28841269841269845;0,15928571428571428;u;g;cc;h;0,21192982456140352;t;t;0,04477611940298507;f;g;0,1555;0,003;+
b;0,44047619047619047;0,055;u;g;i;bb;0,12280701754385964;f;f;0;f;g;0,108;0;+
b;0,16142857142857145;0,02375;u;g;c;v;0,005789473684210527;f;f;0;f;g;0,05;0;+
a;0,19047619047619047;0,017857142857142856;u;g;c;h;0,03070175438596491;t;f;0;t;g;0,2455;0;+
b;0,19444444444444445;0,03571428571428571;u;g;q;v;0,06140350877192982;t;f;0;t;g;0,14;0;+
b;0,3757142857142857;0,07285714285714286;u;g;w;v;0,0014035087719298247;t;f;0;t;g;0,2;0,058;+
b;0,33603174603174607;0,08928571428571429;u;g;w;v;0;t;f;0;t;g;0,1195;0,002;+
b;0,3253968253968254;0,10714285714285714;u;g;cc;h;0,2601754385964912;t;f;0;t;g;0;0;+
b;0,15206349206349204;0,41517857142857145;y;p;w;v;0,029298245614035087;t;f;0;t;g;0,08;0,003;+
b;0,14952380952380956;0;u;g;cc;v;0,0029824561403508773;t;f;0;f;g;0;0;+
b;0,4853968253968254;0,017857142857142856;u;g;i;h;0,17543859649122806;t;f;0;t;g;0,16;0;+
b;0,34;0,16071428571428573;u;g;x;h;0,20175438596491227;f;f;0;t;s;0,3555;0;+
b;0,46825396825396826;0,10714285714285714;u;g;q;h;0,21052631578947367;t;t;0,16417910447761194;f;g;0,04;0;+
b;0,6825396825396826;0,4375;u;g;m;v;0,043859649122807015;t;t;0,05970149253731343;t;g;0,1;0;+
b;0,28444444444444444;0,5773214285714285;u;g;d;v;0,10526315789473684;t;t;0,13432835820895522;f;g;0,125;0,0073;+
a;0,1534920634920635;0,028214285714285716;y;p;q;v;0,05263157894736842;t;t;0,029850746268656716;t;g;0,04;0,004;+
a;0,1058730158730159;0,02982142857142857;u;g;q;v;0,055614035087719296;t;t;0,014925373134328358;f;g;0;0;+
b;0,2050793650793651;0,15178571428571427;u;g;cc;v;0,15052631578947367;t;t;0,014925373134328358;t;g;0,06;0;+
b;0,32412698412698415;0,055;u;g;cc;v;0,05403508771929825;t;t;0,014925373134328358;t;g;0,26;0,5;+
a;0,3531746031746032;0,03571428571428571;u;g;c;v;0,07017543859649122;t;t;0,16417910447761194;f;g;0;0,00456;+
b;0,1865079365079365;0,013392857142857142;u;g;m;v;0,008771929824561403;t;t;0,04477611940298507;f;g;0,13;0,15108;+
b;0,09000000000000002;0,23214285714285715;u;g;w;h;0,051228070175438595;t;t;0,1044776119402985;f;g;0,04;0,02954;+
b;0,34;0,8973214285714286;u;g;x;h;0,05701754385964912;t;t;0,014925373134328358;t;g;0,2575;0,005;+
b;0,2949206349206349;0,26785714285714285;u;g;e;bb;0,055614035087719296;t;f;0;t;s;0,21;0;-
a;0,3941269841269841;0,17857142857142858;u;g;cc;v;0,47368421052631576;t;f;0;t;g;0,49;0;-
b;0,48412698412698413;0,017857142857142856;u;g;m;v;0,37719298245614036;t;f;0;f;s;0,2;0;-
b;0,4933333333333333;0,25;y;p;c;v;0,05701754385964912;f;f;0;f;g;0,08;2E-05;-
b;0,10984126984126986;0,18892857142857142;u;g;q;v;0,013157894736842105;t;t;0,014925373134328358;f;g;0,08;0;-
b;0,32269841269841265;0,23214285714285715;u;g;aa;v;0,0043859649122807015;t;f;0;t;g;0,2215;0;-
a;0,08603174603174606;0,02089285714285714;y;p;aa;v;0,020526315789473684;t;f;0;t;g;0,08;0;-
b;0,12571428571428575;0,041607142857142856;y;p;k;v;0,08771929824561403;t;t;0,014925373134328358;f;g;0,09;0,0002;-
b;0,12301587301587301;0,3482142857142857;u;g;c;v;0,008771929824561403;t;f;0;f;g;0,07;0;-
b;0,5687301587301588;0,6785714285714286;u;g;ff;ff;0;t;t;0,014925373134328358;f;g;0,047;0;-
a;0,22095238095238098;0,05357142857142857;u;g;m;v;0,07017543859649122;t;f;0;f;s;0,184;0;-
b;0,41396825396825393;0,017857142857142856;u;g;m;v;0,008771929824561403;t;f;0;f;s;0,144;0;-
b;0,21428571428571427;0,022321428571428572;u;g;aa;v;0,015964912280701755;t;f;0;t;g;0,1;0;-
b;0,37174603174603177;0,14285714285714285;u;g;c;bb;0,17543859649122806;t;f;0;t;s;0,14;0;-
b;0,18920634920634924;0,07892857142857143;y;p;aa;v;0,14035087719298245;t;f;0;f;g;0,094;0;-
b;0,32142857142857145;0,16071428571428573;u;g;aa;v;0,03508771929824561;t;f;0;t;g;0,12;0;-
a;0,5595238095238095;0,05357142857142857;u;g;j;j;0;t;f;0;t;g;0,05;0,00027;-
b;0,7738095238095238;0,45535714285714285;y;p;c;h;0,17543859649122806;t;f;0;f;g;0,056;0;-
b;0,2804761904761905;0,5535714285714286;u;g;c;v;0,017543859649122806;t;f;0;f;g;0,06;0;-
b;0,6123809523809524;0,049107142857142856;y;p;c;h;0,3319298245614035;t;f;0;t;g;0,1;0,001;-
b;0,23809523809523808;0,05357142857142857;y;p;c;v;0,05263157894736842;t;f;0;t;g;0;0,00225;-
a;0,23539682539682538;0,12642857142857142;u;g;i;bb;0,017543859649122806;t;f;0;t;g;0,0855;0;-
b;0,14682539682539683;0,022321428571428572;y;p;aa;v;0,0043859649122807015;t;f;0;f;g;0,09;1E-05;-
a;0,1388888888888889;0,39285714285714285;y;p;q;v;0,10526315789473684;t;f;0;t;g;0,134;0;-
a;0,23412698412698413;0,03571428571428571;u;g;q;v;0,03508771929824561;t;t;0,029850746268656716;t;g;0,0835;0,005;-
b;0,376984126984127;0,0625;y;p;c;bb;0,008771929824561403;t;f;0;t;g;0,082;0,004;-
b;0,3412698412698413;0,5892857142857143;y;p;c;v;0,14035087719298245;t;f;0;f;g;0,04;0;-
b;0,07809523809523812;0,17857142857142858;u;g;q;v;0,013157894736842105;t;t;0,029850746268656716;f;g;0;0,00038;-
b;0,17857142857142858;0,42857142857142855;u;g;k;v;0,07894736842105263;t;t;0,029850746268656716;t;g;0,06;5E-05;-
b;0,22349206349206346;0,14285714285714285;y;p;i;h;0,20175438596491227;t;t;0,029850746268656716;t;g;0,0375;0;-
b;0,652063492063492;0,5535714285714286;u;g;e;z;0;t;t;0,29850746268656714;f;g;0,076;0,0013;-
b;0,23809523809523808;0,041607142857142856;u;g;k;v;0,017543859649122806;t;f;0;f;s;0,14;0;-
a;0,17857142857142858;0,39285714285714285;y;p;aa;v;0,15789473684210525;t;f;0;f;g;0,06;0;-
b;0,4312698412698413;0,08035714285714286;y;p;x;h;0,3508771929824561;t;f;0;t;g;0,088;0;-
a;0,09523809523809523;0,026785714285714284;u;g;c;v;0,027894736842105264;t;t;0,07462686567164178;t;g;0,07;5E-05;-
b;0,2447619047619048;0,125;u;g;w;v;0,12280701754385964;t;t;0,04477611940298507;t;g;0,1645;0;-
a;0,17063492063492064;0,037142857142857144;y;p;ff;ff;0,017543859649122806;t;t;0,04477611940298507;f;g;0,09;0,00147;-
b;0,17190476190476187;0,44642857142857145;u;g;w;v;0,03070175438596491;t;f;0;t;g;0,13;0;-
a;0,31746031746031744;0,026785714285714284;u;g;k;bb;0,03508771929824561;t;t;0,04477611940298507;t;g;0,106;0;-
b;0,10984126984126986;0,044642857142857144;y;p;c;h;0,04824561403508772;t;t;0,04477611940298507;t;g;0,07;0,0021;-
a;0,18523809523809526;0,04017857142857143;u;g;q;v;0,045263157894736845;t;t;0,029850746268656716;f;g;0,1;0;-
